file,origin,attempt_id,sentence_id,duration_s,rms_dbfs,clip_ratio,active_ratio,sec_per_syl,flags,flags_dup_of,verdict
att_20260704_123959_567213_s1.wav,user,1,1,4.25,-17.3,0.0001,0.48,0.472,,,pass
att_20260704_124004_546749_s2.wav,user,2,2,2.72,-18.0,0.0002,0.46,0.544,,,pass
att_20260704_124006_240447_s3.wav,user,3,3,3.1,-19.9,0.0,0.53,0.517,,,pass
att_20260704_124008_116977_s4.wav,user,4,4,2.85,-17.4,0.0002,0.57,0.475,,,pass
att_20260704_124009_964056_s5.wav,user,5,5,2.57,-19.4,0.0,0.5,0.514,,,pass
att_20260704_124011_788246_s6.wav,user,6,6,2.85,-19.8,0.0,0.5,0.57,,,pass
att_20260704_124013_570594_s7.wav,user,7,7,3.67,-19.1,0.0001,0.44,0.524,,,pass
att_20260704_124015_449431_s8.wav,user,8,8,3.5,-19.5,0.0,0.47,0.583,,,pass
att_20260704_124017_378172_s9.wav,user,9,9,4.47,-19.2,0.0,0.41,0.639,,,pass
att_20260704_124019_262948_s10.wav,user,10,10,3.2,-20.7,0.0001,0.47,0.64,,,pass
att_20260704_124021_098954_s1.wav,user,11,1,3.75,-20.2,0.0,0.67,0.417,,,pass
att_20260704_124023_039290_s2.wav,user,12,2,3.17,-20.7,0.0001,0.47,0.634,,,pass
att_20260704_124024_924517_s3.wav,user,13,3,3.15,-19.9,0.0,0.67,0.525,,,pass
att_20260704_124026_810299_s4.wav,user,14,4,3.55,-18.9,0.0001,0.53,0.592,,,pass
att_20260704_124028_725788_s5.wav,user,15,5,2.97,-21.2,0.0,0.57,0.594,,,pass
att_20260704_124030_626719_s6.wav,user,16,6,3.17,-20.2,0.0,0.47,0.634,,,pass
att_20260704_124032_510554_s7.wav,user,17,7,3.72,-19.5,0.0,0.5,0.531,,,pass
att_20260704_124034_495315_s8.wav,user,18,8,3.6,-20.8,0.0001,0.53,0.6,,,pass
att_20260704_124036_536457_s9.wav,user,19,9,3.42,-19.8,0.0,0.59,0.489,,,pass
att_20260704_124038_592618_s10.wav,user,20,10,3.7,-22.1,0.0001,0.39,0.74,,,pass
att_20260704_154638_384102_s1.webm,user,21,1,4.25,-17.3,0.0002,0.48,0.472,,,pass
att_20260704_154652_159316_s2.webm,user,22,2,3.17,-20.7,0.0001,0.47,0.634,,,pass
att_20260704_194704_998014_s1.webm,user,23,1,3.84,-18.0,0.0,0.58,0.427,,,pass
att_20260704_194727_973213_s1.webm,user,24,1,3.9,-18.2,0.0001,0.79,0.433,,,pass
att_20260704_194742_404898_s1.webm,user,25,1,5.46,-19.6,0.0,0.74,0.607,,,pass
att_20260704_194757_957349_s1.webm,user,26,1,3.6,-15.8,0.0,0.56,0.4,,,pass
att_20260704_194816_228078_s2.webm,user,27,2,2.28,-17.9,0.0003,0.64,0.456,,,pass
att_20260704_194905_518016_s3.webm,user,28,3,3.0,-17.6,0.0,0.53,0.5,,,pass
att_20260704_194921_040726_s3.webm,user,29,3,2.76,-17.6,0.0002,0.62,0.46,,,pass
att_20260704_195014_142630_s3.webm,user,30,3,2.52,-16.0,0.0001,0.67,0.42,,,pass
att_20260704_195024_055981_s3.webm,user,31,3,2.7,-18.9,0.0001,0.62,0.45,,,pass
att_20260704_195109_904949_s4.webm,user,32,4,2.76,-20.6,0.0,0.46,0.46,,,pass
att_20260704_195127_283908_s5.webm,user,33,5,2.64,-22.7,0.0001,0.62,0.528,,,pass
att_20260704_195145_415224_s5.webm,user,34,5,2.82,-18.1,0.0002,0.79,0.564,,,pass
att_20260704_195156_859487_s5.webm,user,35,5,2.34,-16.1,0.0001,0.73,0.468,,,pass
att_20260704_195205_989661_s5.webm,user,36,5,2.28,-16.6,0.0001,0.73,0.456,,,pass
att_20260704_195235_604080_s6.webm,user,37,6,2.28,-16.5,0.0001,0.73,0.456,,,pass
att_20260704_195247_943969_s6.webm,user,38,6,2.58,-18.0,0.0,0.58,0.516,,,pass
att_20260704_195300_403042_s7.webm,user,39,7,2.94,-20.4,0.0001,0.57,0.42,,,pass
att_20260704_195309_504812_s7.webm,user,40,7,3.06,-19.7,0.0002,0.53,0.437,,,pass
att_20260704_195322_131435_s8.webm,user,41,8,2.22,-18.8,0.0002,0.64,0.37,,,pass
att_20260704_195331_578961_s8.webm,user,42,8,2.82,-18.1,0.0,0.57,0.47,,,pass
att_20260704_195343_334572_s9.webm,user,43,9,2.64,-18.8,0.0,0.54,0.377,,,pass
att_20260704_195355_309566_s10.webm,user,44,10,1.98,-18.5,0.0002,0.67,0.396,,,pass
att_20260704_201106_722988_s1.webm,user,45,1,3.06,-16.4,0.0001,0.67,0.34,,,pass
att_20260704_201335_629947_s1.webm,user,46,1,3.78,-29.7,0.0,0.56,0.42,,,pass
att_20260704_201346_935845_s2.webm,user,47,2,2.64,-30.8,0.0,0.38,0.528,,,pass
att_20260704_201358_735182_s3.webm,user,48,3,2.64,-29.9,0.0,0.38,0.44,,,pass
att_20260704_201409_814312_s3.webm,user,49,3,3.18,-28.6,0.0,0.8,0.53,,,pass
att_20260704_201420_804447_s4.webm,user,50,4,2.76,-32.5,0.0,0.31,0.46,,,pass
att_20260704_201431_571192_s5.webm,user,51,5,2.46,-31.8,0.0,0.33,0.492,,,pass
att_20260704_201442_380632_s6.webm,user,52,6,2.88,-32.2,0.0,0.36,0.576,,,pass
att_20260704_201452_756144_s7.webm,user,53,7,3.0,-28.5,0.0,0.47,0.429,,,pass
att_20260704_201503_378937_s8.webm,user,54,8,2.82,-29.7,0.0,0.43,0.47,,,pass
att_20260704_201514_901685_s8.webm,user,55,8,3.0,-28.8,0.0,0.6,0.5,,,pass
att_20260704_201525_605393_s9.webm,user,56,9,3.06,-30.5,0.0,0.53,0.437,,,pass
att_20260704_201537_322122_s10.webm,user,57,10,2.64,-31.8,0.0,0.46,0.528,,,pass
att_20260704_204246_629211_s1.wav,user,58,1,4.25,-17.3,0.0001,0.48,0.472,duplicate_exact,att_20260704_123959_567213_s1.wav,fail
att_20260704_214549_957883_s1.webm,user,59,1,3.6,-28.8,0.0,0.5,0.4,,,pass
att_20260704_214635_945031_s2.webm,user,60,2,2.22,-29.9,0.0,0.45,0.444,,,pass
att_20260704_214643_330337_s3.webm,user,61,3,3.0,-31.4,0.0,0.47,0.5,,,pass
att_20260704_214701_269328_s4.webm,user,62,4,2.64,-33.0,0.0,0.46,0.44,,,pass
att_20260704_214713_132687_s5.webm,user,63,5,2.4,-33.2,0.0,0.42,0.48,,,pass
att_20260704_214718_779300_s6.webm,user,64,6,2.16,-34.8,0.0,0.6,0.432,,,pass
att_20260704_214725_531505_s7.webm,user,65,7,2.82,-32.1,0.0,0.5,0.403,,,pass
att_20260704_214732_045410_s8.webm,user,66,8,2.46,-31.9,0.0,0.58,0.41,,,pass
att_20260704_214738_395450_s9.webm,user,67,9,2.58,-32.3,0.0,0.67,0.369,,,pass
att_20260704_214744_105228_s10.webm,user,68,10,2.1,-33.7,0.0,0.6,0.42,,,pass
att_20260704_214750_287363_s11.webm,user,69,11,2.94,-31.9,0.0,0.64,0.367,,,pass
att_20260704_214804_911371_s12.webm,user,70,12,2.46,-29.8,0.0,0.67,0.273,,,pass
att_20260704_214819_298991_s12.webm,user,71,12,3.06,-29.5,0.0,0.6,0.34,,,pass
att_20260704_214843_593957_s13.webm,user,72,13,2.88,-30.6,0.0,0.64,0.411,,,pass
att_20260704_215005_883514_s14.webm,user,73,14,3.3,-29.1,0.0,0.62,0.33,,,pass
att_20260704_215012_363307_s15.webm,user,74,15,2.7,-31.1,0.0,0.69,0.338,,,pass
att_20260704_215030_720322_s15.webm,user,75,15,2.88,-31.3,0.0,0.71,0.36,,,pass
att_20260704_215040_137508_s15.webm,user,76,15,2.94,-31.0,0.0,0.64,0.367,,,pass
att_20260704_215049_748646_s15.webm,user,77,15,3.78,-31.3,0.0,0.61,0.472,,,pass
att_20260704_215103_536229_s16.webm,user,78,16,3.0,-31.9,0.0,0.67,0.375,,,pass
att_20260704_215109_588999_s17.webm,user,79,17,2.58,-31.1,0.0,0.67,0.43,,,pass
att_20260704_215116_200520_s18.webm,user,80,18,3.18,-32.0,0.0,0.73,0.353,,,pass
att_20260704_215122_308685_s19.webm,user,81,19,2.52,-31.9,0.0,0.75,0.315,,,pass
att_20260704_215130_705152_s20.webm,user,82,20,2.58,-30.5,0.0,0.75,0.287,,,pass
att_20260704_215137_177538_s21.webm,user,83,21,3.24,-32.6,0.0,0.62,0.36,,,pass
att_20260704_215145_063297_s22.webm,user,84,22,2.76,-31.9,0.0,0.62,0.394,,,pass
att_20260704_215151_408011_s23.webm,user,85,23,3.18,-31.6,0.0,0.73,0.398,,,pass
att_20260704_215157_799909_s24.webm,user,86,24,2.4,-31.2,0.0,0.58,0.343,,,pass
att_20260704_215203_987437_s25.webm,user,87,25,2.64,-31.1,0.0,0.62,0.33,,,pass
att_20260704_215209_209091_s26.webm,user,88,26,2.04,-31.3,0.0,0.6,0.408,,,pass
att_20260704_215215_110328_s27.webm,user,89,27,2.7,-31.9,0.0,0.54,0.386,,,pass
att_20260704_215221_414574_s28.webm,user,90,28,2.52,-30.5,0.0,0.67,0.36,,,pass
att_20260704_215227_468848_s29.webm,user,91,29,2.88,-30.2,0.0,0.5,0.411,,,pass
att_20260704_215233_692451_s30.webm,user,92,30,2.4,-31.6,0.0,0.58,0.343,,,pass
att_20260704_215240_308525_s31.webm,user,93,31,2.34,-29.0,0.0,0.64,0.334,,,pass
att_20260704_215248_685243_s31.webm,user,94,31,2.46,-29.8,0.0,0.58,0.351,,,pass
att_20260704_215303_279547_s31.webm,user,95,31,2.22,-28.0,0.0,0.73,0.317,,,pass
att_20260704_215313_302489_s32.webm,user,96,32,2.52,-30.4,0.0,0.58,0.36,,,pass
att_20260704_215321_120667_s33.webm,user,97,33,2.82,-29.1,0.0,0.64,0.313,,,pass
att_20260704_215418_822311_s1.webm,user,98,1,3.42,-29.1,0.0,0.59,0.38,,,pass
att_20260704_223721_339857_s1.mp3,synth,99,1,2.62,-17.6,0.0,0.62,0.291,,,pass
att_20260704_223726_847445_s1.mp3,synth,100,1,2.59,-17.5,0.0,0.67,0.288,,,pass
att_20260704_223728_940066_s1.mp3,synth,101,1,2.62,-17.4,0.0,0.62,0.291,,,pass
att_20260704_223730_926435_s2.mp3,synth,102,2,2.06,-20.0,0.0,0.5,0.412,,,pass
att_20260704_223732_893912_s2.mp3,synth,103,2,2.16,-20.1,0.0,0.6,0.432,,,pass
att_20260704_223734_948844_s2.mp3,synth,104,2,2.02,-19.8,0.0,0.5,0.404,,,pass
